DATA;CASOS_NOVOS;ÓBITOS_NOVOS;
2023-07-01;2;80;
2023-07-02;2;80;
2023-07-03;2;80;
2023-07-04;2;80;
2023-07-05;2;80;
2023-07-06;2;80;
2023-07-07;2;80;
2023-07-08;4;142;
2023-07-09;4;142;
2023-07-10;4;142;
2023-07-11;4;142;
2023-07-12;4;142;
2023-07-13;4;142;
2023-07-14;4;142;
2023-07-15;6;265;
2023-07-16;6;265;
2023-07-17;6;265;
2023-07-18;6;265;
2023-07-19;6;265;
2023-07-20;6;265;
2023-07-21;6;265;
2023-07-22;10;320;
2023-07-23;10;320;
2023-07-24;10;320;
2023-07-25;10;320;
2023-07-26;10;320;
2023-07-27;10;320;
2023-07-28;10;320;
2023-07-29;14;344;
2023-07-30;14;344;
2023-07-31;14;344;
2023-08-01;14;344;
2023-08-02;14;344;
2023-08-03;14;344;
2023-08-04;14;344;
2023-08-05;15;422;
2023-08-06;15;422;
2023-08-07;15;422;
2023-08-08;15;422;
2023-08-09;15;422;
2023-08-10;15;422;
2023-08-11;15;422;
2023-08-12;15;459;
2023-08-13;15;459;
2023-08-14;15;459;
2023-08-15;15;459;
2023-08-16;15;459;
2023-08-17;15;459;
2023-08-18;15;459;
2023-08-19;15;490;
2023-08-20;15;490;
2023-08-21;15;490;
2023-08-22;15;490;
2023-08-23;15;490;
2023-08-24;15;490;
2023-08-25;15;490;
2023-08-26;15;546;
2023-08-27;15;546;
2023-08-28;15;546;
2023-08-29;15;546;
2023-08-30;15;546;
2023-08-31;15;546;
2023-09-01;15;546;
2023-09-02;15;576;
2023-09-03;15;576;
2023-09-04;15;576;
2023-09-05;15;576;
2023-09-06;15;576;
2023-09-07;15;576;
2023-09-08;15;576;
2023-09-09;15;594;
2023-09-10;15;594;
2023-09-11;15;594;
2023-09-12;15;594;
2023-09-13;15;594;
2023-09-14;15;594;
2023-09-15;15;594;
2023-09-16;15;603;
2023-09-17;15;603;
2023-09-18;15;603;
2023-09-19;15;603;
2023-09-20;15;603;
2023-09-21;15;603;
2023-09-22;15;603;
2023-09-23;15;636;
2023-09-24;15;636;
2023-09-25;15;636;
2023-09-26;15;636;
2023-09-27;15;636;
2023-09-28;15;636;
2023-09-29;15;636;
2023-09-30;15;658;
2023-10-01;15;658;
2023-10-02;15;658;
2023-10-03;15;658;
2023-10-04;15;658;
2023-10-05;15;658;
2023-10-06;15;658;
2023-10-07;15;677;
2023-10-08;15;677;
2023-10-09;15;677;
2023-10-10;15;677;
2023-10-11;15;677;
2023-10-12;15;677;
2023-10-13;15;677;
2023-10-14;15;707;
2023-10-15;15;707;
2023-10-16;15;707;
2023-10-17;15;707;
2023-10-18;15;707;
2023-10-19;15;707;
2023-10-20;15;707;
2023-10-21;15;778;
2023-10-22;15;778;
2023-10-23;15;778;
2023-10-24;15;778;
2023-10-25;15;778;
2023-10-26;15;778;
2023-10-27;15;778;
2023-10-28;16;902;
2023-10-29;16;902;
2023-10-30;16;902;
2023-10-31;16;902;
2023-11-01;16;902;
2023-11-02;16;902;
2023-11-03;16;902;
2023-11-04;17;1072;
2023-11-05;17;1072;
2023-11-06;17;1072;
2023-11-07;17;1072;
2023-11-08;17;1072;
2023-11-09;17;1072;
2023-11-10;17;1072;
2023-11-11;18;1379;
2023-11-12;18;1379;
2023-11-13;18;1379;
2023-11-14;18;1379;
2023-11-15;18;1379;
2023-11-16;18;1379;
2023-11-17;18;1379;
2023-11-18;19;1809;
2023-11-19;19;1809;
2023-11-20;19;1809;
2023-11-21;19;1809;
2023-11-22;19;1809;
2023-11-23;19;1809;
2023-11-24;19;1809;
2023-11-25;23;2400;
2023-11-26;23;2400;
2023-11-27;23;2400;
2023-11-28;23;2400;
2023-11-29;23;2400;
2023-11-30;23;2400;
2023-12-01;23;2400;
2023-12-02;26;2883;
2023-12-03;26;2883;
2023-12-04;26;2883;
2023-12-05;26;2883;
2023-12-06;26;2883;
2023-12-07;26;2883;
2023-12-08;26;2883;
2023-12-09;28;3132;
2023-12-10;28;3132;
2023-12-11;28;3132;
2023-12-12;28;3132;
2023-12-13;28;3132;
2023-12-14;28;3132;
2023-12-15;28;3132;
2023-12-16;34;3548;
2023-12-17;34;3548;
2023-12-18;34;3548;
2023-12-19;34;3548;
2023-12-20;34;3548;
2023-12-21;34;3548;
2023-12-22;34;3548;
2023-12-23;36;3944;
2023-12-24;36;3944;
2023-12-25;36;3944;
2023-12-26;36;3944;
2023-12-27;36;3944;
2023-12-28;36;3944;
2023-12-29;36;3944;
2023-12-30;37;4293;
